流程階段,功能,HTTP Method,API-EN,額外文檔
通用,登入,POST,/api/auth/login,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_AUTH_LOGIN
通用,顯示使用者帳號,GET,/api/auth/info,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_AUTH_INFO
通用,上傳圖片,POST,/api/photos,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_PHOTOS
通用,取得圖片,GET,/api/photos/{photoUid},https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_PHOTOS_PHOTOUID
通用,取得估價單列表,GET,/api/quotations,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_QUOTATIONS
通用,搜尋估價單列表,POST,/api/quotations,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS
估價中(編輯中),車牌辨識,POST,/api/car-plates/recognitions,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CAR_PLATES_RECOGNITIONS
估價中(編輯中),車牌搜尋,POST,/api/car-plates/search,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CAR_PLATES_SEARCH
估價中(編輯中),取得品牌型號,GET,/api/brands-models,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_BRANDS_MODELS
估價中(編輯中),新增車輛資料,POST,/api/cars,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CARS
估價中(編輯中),電話搜尋,POST,/api/customers/phone-search,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CUSTOMERS_PHONE_SEARCH
估價中(編輯中),新增客戶資料,POST,/api/customers,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CUSTOMERS
估價中(編輯中),技師名單,GET,/api/technicians,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_TECHNICIANS
估價中(編輯中),新增估價單,POST,/api/quotations/create,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_CREATE
估價中(編輯中),取得估價單,POST,/api/quotations/detail,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_DETAIL
估價中(編輯中),編輯車輛資料,POST,/api/cars/edit,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CARS_EDIT
估價中(編輯中),編輯客戶資料,POST,/api/customers/edit,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_CUSTOMERS_EDIT
估價中(編輯中),編輯估價單,POST,/api/quotations/edit,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_EDIT
估價中(編輯中),刪除估價單,DELETE,/api/quotations/delete,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=DELETE_API_QUOTATIONS_DELETE
估價中(編輯中),估價完成,POST,/api/quotations/evaluate,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_EVALUATE
估價中(編輯中),誤按回溯,POST,/api/quotations/revert,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_REVERT
估價完成,自動過期,OTHER,（系統自動排程，無需呼叫 API）,無外部文件（無 OperationId）
估價完成,取消,POST,/api/quotations/cancel,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_CANCEL
估價完成,轉預約,POST,/api/quotations/reserve,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_RESERVE
估價完成,誤按回溯,POST,/api/quotations/revert,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_REVERT
已預約,自動過期,OTHER,（系統自動排程，無需呼叫 API）,無外部文件（無 OperationId）
已預約,取消預約,POST,/api/quotations/reserve/cancel,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_RESERVE_CANCEL
已預約,更改預約,POST,/api/quotations/reserve/update,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_RESERVE_UPDATE
已預約,轉維修,POST,/api/quotations/maintenance,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_MAINTENANCE
已預約,誤按回溯,POST,/api/quotations/revert,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_REVERT
轉維修,取得維修單列表,GET,/api/maintenance-orders,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=GET_API_MAINTENANCE_ORDERS
轉維修,搜尋維修單列表,POST,/api/maintenance-orders,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_MAINTENANCE_ORDERS
轉維修,取得維修單,POST,/api/maintenance-orders/detail,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_MAINTENANCE_ORDERS_DETAIL
轉維修,編輯維修單,POST,/api/maintenance-orders/edit,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_MAINTENANCE_ORDERS_EDIT
轉維修,確認維修,POST,/api/quotations/confirm-maintenance,https://test-dentstagetoolapp.api.getmywaytech.com/docs/api/index.html?operationId=POST_API_QUOTATIONS_CONFIRM_MAINTENANCE
